x,y,w,h,angle
232.14,735.92,27.02,15.41,-13.94
283.19,725.92,14.07,14.87,-26.53
329.81,743.37,9.20,15.32,-38.43
351.42,756.85,9.20,15.32,-38.43
304.63,752.30,10.91,19.83,-38.43
328.87,772.08,14.04,19.83,-38.43
256.97,764.07,19.58,9.20,22.67
192.56,761.03,21.83,22.32,9.68
82.87,762.31,7.10,18.22,-8.04
70.14,784.16,16.65,18.22,-8.04
116.47,750.93,16.04,43.68,-13.55
153.17,770.58,13.42,23.86,-16.85
245.98,774.44,17.65,22.11,-37.76
286.96,774.44,17.71,15.32,-36.77
270.42,792.90,10.91,19.83,-38.43
291.99,801.78,9.20,20.14,-38.93
309.78,802.57,12.19,11.78,9.68
87.81,819.43,16.31,21.20,9.68
134.24,816.57,6.72,13.22,49.32
185.44,793.54,14.43,21.80,9.68
118.66,852.00,9.60,10.59,9.68
140.87,848.37,17.69,10.59,9.68
165.88,864.29,10.07,17.10,9.68
178.43,826.68,30.63,12.34,9.68
190.93,853.59,26.56,10.23,24.92
226.43,831.29,14.41,11.47,24,87
201.21,877.03,28.73,17.33,24.87
236.12,851.40,22.38,6.62,24.87
241.47,865.21,22.38,13.24,24.87
268.18,842.78,13.99,20.70,51.57
